fold,mse,rmse,mae,r2
1,0.0315871387720108,0.177727709634741,0.09257593750953674,0.6184868216514587
2,0.04392382875084877,0.20958012489463015,0.11737670004367828,0.5384681224822998
3,0.03545839712023735,0.18830400186994792,0.09610000252723694,0.5382314920425415
4,0.04193568229675293,0.20478203606945833,0.10059274733066559,0.5330811738967896
5,0.04420429468154907,0.21024817402667037,0.09907253086566925,0.5321843028068542
6,0.03910958021879196,0.19776142247362594,0.09866724163293839,0.5580857992172241
7,0.041298337280750275,0.20321992343456455,0.10183944553136826,0.5704458355903625
8,0.036662500351667404,0.19147454230697983,0.09805593639612198,0.6169694662094116
9,0.035919103771448135,0.18952335943478876,0.09780608862638474,0.5710157155990601
10,0.03893106058239937,0.19730955522325666,0.09849104285240173,0.5578349828720093
