fold,mse,rmse,mae,r2
1,0.031271398067474365,0.17683720781406373,0.08767026662826538,0.622300386428833
2,0.03612639382481575,0.19006944474274592,0.09676074236631393,0.620400071144104
3,0.035148680210113525,0.1874798128069087,0.09619703888893127,0.5422648787498474
4,0.04001404345035553,0.20003510554489062,0.09917718172073364,0.5544769763946533
5,0.03573229908943176,0.1890298894075531,0.09107022732496262,0.621843695640564
6,0.036723919212818146,0.19163485907532102,0.09489679336547852,0.5850423574447632
7,0.03790352866053581,0.1946882858842201,0.09501638263463974,0.6057560443878174
8,0.0353204607963562,0.1879373853078631,0.09518788009881973,0.6309903860092163
9,0.03277098760008812,0.18102758795301924,0.08882414549589157,0.6086138486862183
10,0.03755051642656326,0.19377955626578172,0.09613602608442307,0.5735146999359131
